global_lr,iid,num_users,local_epoch,local_bs,local_lr,training_rounds,frac,seed,arch,dataset,class,test_loss_1234,class_loss_1234,test_accuracy_1234,class_accuracy_1234,grad_norms_1234,hessian_eigen_1234,distance_to_decision_1234,robust_class_loss_0.01_1234,robust_class_loss_0.05_1234,robust_class_acc_0.01_1234,robust_class_acc_0.05_1234,global_lr,iid,num_users,local_epoch,local_bs,local_lr,training_rounds,frac,seed,arch,dataset,class,test_loss_1234,class_loss_1234,test_accuracy_1234,class_accuracy_1234,grad_norms_1234,hessian_eigen_1234,distance_to_decision_1234,robust_class_loss_0.01_1234,robust_class_loss_0.05_1234,robust_class_acc_0.01_1234,robust_class_acc_0.05_1234
1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,T-shirt/top,0.0393516910029575,0.0180239155043245,98.74166666666667,99.32942162615257,0.0011409134117492,0.0856102506265556,0.9882301912523574,0.0176273464132464,0.0188034351833266,99.32942162615257,99.24559932942162,1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,T-shirt/top,0.05138973513385281,0.017473316708769122,98.4,99.28057553956835,0.010952731603865425,0.8788724722836515,0.9767690974173786,0.01658484544318526,0.017226401289099157,99.28057553956835,99.28057553956835
1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,Trouser,0.0393516910029575,0.0328719549041976,98.74166666666667,99.24502402196292,0.0010018950493545,0.0362595817847618,0.9933265994981124,0.0328143364269635,0.0327279905537579,99.24502402196292,99.24502402196292,1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,Trouser,0.05138973513385281,0.021122695105329443,98.4,99.61538461538461,0.006067734688806992,0.49239632872434763,0.9756742037259616,0.019727735937340184,0.01946417643339373,99.61538461538461,99.61538461538461
1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,Pullover,0.0393516910029575,0.0464309421013673,98.74166666666667,98.53574504737296,0.0022666489895758,0.1360894836093925,0.9786014211886304,0.0450560335615591,0.0461218825802461,98.53574504737296,98.53574504737296,1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,Pullover,0.05138973513385281,0.019298087985057104,98.4,99.13419913419914,0.0056400471301678795,0.3946799155179556,0.9798821783685064,0.016524000095159863,0.016276321649502278,99.56709956709958,99.56709956709958
1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,Dress,0.0393516910029575,0.0247381855206097,98.74166666666667,98.90387858347384,0.0015001903219748,0.1269726582864082,0.9811675150519076,0.0242157794658851,0.0243442823666555,98.90387858347384,99.24114671163576,1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,Dress,0.05138973513385281,0.055512279482510314,98.4,97.80701754385966,0.01733298454997375,0.7643137175655156,0.967819749263295,0.05737044632169273,0.05655000953829585,97.80701754385966,97.80701754385966
1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,Coat,0.0393516910029575,0.0513218630574957,98.74166666666667,98.52941176470588,0.0021113394620733,0.1335290400055693,0.976526198044322,0.0506188093315358,0.0489558829856832,98.61111111111111,98.69281045751634,1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,Coat,0.05138973513385281,0.03459323401007245,98.4,98.87640449438202,0.021765318573086282,1.2426798890145976,0.9660894843969452,0.05076811118160549,0.04915554242761573,98.87640449438202,98.87640449438202
1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,Sandal,0.0393516910029575,0.0347033805034664,98.74166666666667,98.8593155893536,0.0022106412609544,0.1297685183839653,0.9893389219566896,0.0361540027030969,0.0355794859119214,98.8593155893536,98.8593155893536,1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,Sandal,0.05138973513385281,0.07263665602685625,98.4,98.23529411764706,0.028108926837277764,1.2990178411848405,0.9684278600356158,0.08771360748924054,0.08772733956811862,98.23529411764706,98.23529411764706
1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,Shirt,0.0393516910029575,0.0197752751381221,98.74166666666667,99.35117599351176,0.0011671764773844,0.0752404768814522,0.9878185114431264,0.0201656538539282,0.0197895077843895,99.35117599351176,99.27007299270072,1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,Shirt,0.05138973513385281,0.077265915879379,98.4,97.79005524861878,0.018691469294527797,0.7181759735754594,0.9666920024387086,0.07679386707707181,0.07529465497950696,97.79005524861878,97.79005524861878
1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,Sneaker,0.0393516910029575,0.036124582962848,98.74166666666667,99.08256880733946,0.0016254883327112,0.0987004459351674,0.9861143237854462,0.0378580312019039,0.0373759826648893,99.08256880733946,99.16597164303586,1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,Sneaker,0.05138973513385281,0.0708472222080713,98.4,98.22222222222223,0.01449323857632569,0.7968568088312944,0.9568830023871527,0.056745920857065354,0.05388458192442158,98.22222222222223,98.22222222222223
1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,Bag,0.0393516910029575,0.0631281580703931,98.74166666666667,97.81277340332458,0.0052078172285843,0.4056970749418671,0.9655578025891296,0.0660628489757073,0.0706078856732347,97.81277340332458,97.63779527559056,1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,Bag,0.05138973513385281,0.07768049039950445,98.4,97.3404255319149,0.02983835484111741,1.8797134858496645,0.9537648951753657,0.07700179287276114,0.07999494878276892,97.3404255319149,97.3404255319149
1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,Ankle boot,0.0393516910029575,0.0697915262388316,98.74166666666667,97.56944444444444,0.0035349160164413,0.1900893090085851,0.9692228105333116,0.0718740284297382,0.076845147361746,97.56944444444444,97.56944444444444,1.0,0,4,5,64,0.01,3,1,1234,cnn,fmnist,Ankle boot,0.05138973513385281,0.0735430254901803,98.4,97.5,0.022360008932184428,1.5516231492757797,0.9448163604736328,0.07213216013624332,0.0755505129636731,97.5,97.5
